SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-1-2021,Vacant Land,NHN Vernon Rd,Carter,MT,59420,385000,,,Carter,,10672200,,,,,Sold,,,https://www.redfin.com/MT/Carter/NHN-Vernon-RD-59420/home/183194769,BSCMLS,362610,N,Y,47.766521,-110.857126
PAST SALE,June-3-2021,Single Family Residential,144 Two Dog Night Ln,Geraldine,MT,59446,735000,4,3.5,Geraldine,3552,910839,2007,,207,,Sold,,,https://www.redfin.com/MT/Geraldine/144-Two-Dog-Night-LN-Unknown/home/183269266,MRMLS,22008745,N,Y,47.56283445,-110.31221724
PAST SALE,November-4-2022,Single Family Residential,1108 Mc Guire Ave,Highwood,MT,59450,295000,3,2.0,Highwood,1404,178596,1997,,210,,Sold,,,https://www.redfin.com/MT/Highwood/1108-Mc-Guire-Ave-59450/home/104898230,MRMLS,22213882,N,Y,47.5846551,-110.8057808
PAST SALE,May-2-2025,Vacant Land,0 26th St,Fort Benton,MT,59442,60000,,,,,37810,,,,,Sold,,,https://www.redfin.com/MT/Fort-Benton/26th-St-59442/home/195290731,BMTMLS,351877,N,Y,47.826695,-110.65338
PAST SALE,September-23-2022,Single Family Residential,460 Lincoln Ave,Big Sandy,MT,59520,279000,6,2.5,Big Sandy,2600,13939,1949,,107,,Sold,,,https://www.redfin.com/MT/Big-Sandy/460-Lincoln-Ave-59520/home/104898821,MRMLS,22209142,N,Y,48.1793202,-110.1177822
PAST SALE,August-10-2021,Single Family Residential,823 Washington St,Fort Benton,MT,59442,305000,4,2.0,Fort Benton,1986,12632,1979,,154,,Sold,,,https://www.redfin.com/MT/Fort-Benton/823-Washington-St-59442/home/104899064,MRMLS,22108754,N,Y,47.8135176,-110.6764579
PAST SALE,April-29-2022,Mobile/Manufactured Home,2313 Washington St,Fort Benton,MT,59442,138900,3,2.0,Fort Benton,1314,,1978,,106,,Sold,,,https://www.redfin.com/MT/Fort-Benton/2313-Washington-St-59442/home/104898557,MRMLS,22203083,N,Y,47.8270204,-110.6616661
PAST SALE,March-24-2021,Single Family Residential,2118 Franklin St,Fort Benton,MT,59442,174900,3,2.0,MILITARY ADD,1600,8276,1960,,109,,Sold,,,https://www.redfin.com/MT/Fort-Benton/2118-Franklin-St-59442/home/104898987,MRMLS,22101598,N,Y,47.8248272,-110.6632957
PAST SALE,May-27-2021,Single Family Residential,626 Brewster St,Geraldine,MT,59446,159000,3,2.0,Geraldine,3024,20908,1945,,53,,Sold,,,https://www.redfin.com/MT/Geraldine/626-Brewster-St-59446/home/104899683,MRMLS,22103278,N,Y,47.5992515,-110.2692987
PAST SALE,January-24-2022,Single Family Residential,491 Johannes Ave,Big Sandy,MT,59520,415000,4,3.0,,3328,13983,2001,,125,,Sold,,,https://www.redfin.com/MT/Big-Sandy/491-Johannes-Ave-59520/home/104899290,BMTMLS,321845,N,Y,48.1756626,-110.1066071
PAST SALE,August-31-2022,Mobile/Manufactured Home,2008 Franklin St,Fort Benton,MT,59442,65000,3,1.0,Fort Benton,696,6534,1972,,93,,Sold,,,https://www.redfin.com/MT/Fort-Benton/2008-Franklin-St-59442/home/104898757,MRMLS,22203230,N,Y,47.8237229,-110.6645434
PAST SALE,June-30-2022,Vacant Land,TBD Hwy. 87 Hwy,Fort Benton,MT,59442,495000,,,Fort Benton,,13939200,,,,,Sold,,,https://www.redfin.com/MT/Fort-Benton/TBD-Hwy-87-HWY-59442/home/183197076,BSCMLS,356854,N,Y,47.808174,-110.83841
PAST SALE,October-25-2021,Single Family Residential,1670 Penquin Ln,Big Sandy,MT,59520,325000,2,1.5,Big Sandy,976,239580,1910,,333,,Sold,,,https://www.redfin.com/MT/Big-Sandy/1670-Penguin-Ln-59520/home/104898944,MRMLS,22111036,N,Y,48.1914803,-110.3053633
PAST SALE,August-6-2021,Single Family Residential,268 Geraldine Ave W,Geraldine,MT,59446,179000,3,2.0,Geraldine,1772,41817,1957,,101,,Sold,,,https://www.redfin.com/MT/Geraldine/268-Geraldine-Ave-59446/home/104899595,MRMLS,22110044,N,Y,47.5982209,-110.2685938
PAST SALE,March-31-2022,Ranch,3710 Davis School Road Rd,Carter,MT,59420,425000,5,1.5,,2799,1001880,1952,,152,,Sold,,,https://www.redfin.com/MT/Carter/3710-Davis-School-Rd-59420/home/181390121,BMTMLS,326679,N,Y,47.8004205,-111.0414533
PAST SALE,August-24-2022,Mobile/Manufactured Home,425 Brady Ave W,Geraldine,MT,59446,160000,3,2.0,Geraldine,1216,20473,1999,,132,,Sold,,,https://www.redfin.com/MT/Geraldine/425-Brady-Ave-W-59446/home/104899586,MRMLS,22111957,N,Y,47.6044689,-110.270892
PAST SALE,November-5-2021,Mobile/Manufactured Home,265 Harris Ave,Highwood,MT,59450,68000,2,1.0,Highwood,816,13939,1971,,83,,Sold,,,https://www.redfin.com/MT/Highwood/265-Harris-Ave-59450/home/183273773,MRMLS,22115908,N,Y,47.586159,-110.788052
PAST SALE,October-28-2022,Single Family Residential,335 4th St W,Other-see Remarks,MT,59420,399000,5,3.5,,3696,14985,1916,,108,,Sold,,,https://www.redfin.com/MT/Other-See-Remarks/335-4th-ST-W-59420/home/188632077,BMTMLS,335348,N,Y,47.78138,-110.959445
PAST SALE,April-29-2022,Ranch,2172 Montague Rd,Fort Benton,MT,59442,1000000,,,Fort Benton,,,,,,,Sold,,,https://www.redfin.com/MT/Fort-Benton/2172-Montague-Rd-59442/home/183265988,MRMLS,21912729,N,Y,47.7041235,-110.4151747
PAST SALE,March-5-2021,Mobile/Manufactured Home,357 Spring St,Geraldine,MT,59446,175000,4,3.0,Geraldine,3136,62726,1994,,56,,Sold,,,https://www.redfin.com/MT/Geraldine/357-Spring-St-59446/home/104899608,MRMLS,22007384,N,Y,47.601946,-110.2729165
PAST SALE,December-30-2024,Multi-Family (2-4 Unit),2317 Chouteau St,Fort Benton,MT,59442,342500,7,4.0,Fort Benton,3456,12589,1980,,99,,Sold,,,https://www.redfin.com/MT/Fort-Benton/2317-Chouteau-St-59442/home/147734271,MRMLS,30036166,N,Y,47.8274761,-110.6630854
PAST SALE,August-13-2025,Vacant Land,UKN Flager Ave,Geraldine,MT,59446,21900,,,Geraldine,,27442,,,,,Sold,,,https://www.redfin.com/MT/Geraldine/Ukn-Flagler-Ave-59446/home/183258942,MRMLS,30053718,N,Y,47.60003951,-110.2632662
PAST SALE,March-30-2023,Single Family Residential,1001 Chouteau Street St,Fort Benton,MT,59442,159900,4,1.0,,1824,10454,1952,,88,,Sold,,,https://www.redfin.com/MT/Fort-Benton/1001-Chouteau-St-59442/home/104898460,BMTMLS,338048,N,Y,47.8156655,-110.6758546
PAST SALE,June-30-2024,Single Family Residential,2206 Franklin St,Fort Benton,MT,59442,329063,4,1.5,Fort Benton,2574,16814,1961,,128,,Sold,,,https://www.redfin.com/MT/Fort-Benton/2206-Franklin-St-59442/home/104898961,MRMLS,30026067,N,Y,47.8256394,-110.66244
PAST SALE,July-24-2023,Single Family Residential,1410 Washington Street St,Fort Benton,MT,59442,180000,5,2.0,,2664,7579,1910,,68,,Sold,,,https://www.redfin.com/MT/Fort-Benton/1410-Washington-Street-ST-59442/home/188637230,BMTMLS,339236,N,Y,47.818774,-110.671483
PAST SALE,July-24-2023,Multi-Family (2-4 Unit),1410 Washington St,Fort Benton,MT,59442,180000,5,2.0,Fort Benton,2664,7579,1910,,68,,Sold,,,https://www.redfin.com/MT/Fort-Benton/1410-Washington-St-59442/home/104898409,MRMLS,30004389,N,Y,47.8188094,-110.6715957
PAST SALE,July-16-2025,Ranch,NHN Brady Rd E,Brady,MT,59416,1999000,,,Brady,,60984000,,,,,Sold,,,https://www.redfin.com/MT/Brady/NHN-Brady-Rd-E-59416/home/195799890,MRMLS,30049651,N,Y,48.09911583,-111.36948741
PAST SALE,February-15-2023,Single Family Residential,1020 24th St,Fort Benton,MT,59442,108900,3,1.0,Military Addition,1920,8276,1978,,57,,Sold,,,https://www.redfin.com/MT/Fort-Benton/1020-24th-St-59442/home/104898558,MRMLS,22216785,N,Y,47.8272184,-110.6616151
PAST SALE,December-5-2025,Single Family Residential,UKN Highway 80,Geraldine,MT,59446,119000,1,1.0,Geraldine,480,81675,1981,,248,,Sold,,,https://www.redfin.com/MT/Geraldine/UKN-Unknown/home/198736350,MRMLS,30060214,N,Y,47.42790299,-110.14928801
PAST SALE,March-20-2025,Single Family Residential,1105 Franklin St,Fort Benton,MT,59442,299999,3,1.5,Fort Benton,2025,9845,1948,,148,,Sold,,,https://www.redfin.com/MT/Fort-Benton/1105-Franklin-St-59442/home/104898363,MRMLS,30039774,N,Y,47.8154684,-110.6726574
PAST SALE,November-4-2024,Vacant Land,175 Jefferson Ave,Big Sandy,MT,59520,15000,,,Elderman Second Addbig Sandy,,6534,,,,,Sold,,,https://www.redfin.com/MT/Big-Sandy/175-Jefferson-Ave-59520/home/104898811,BMTMLS,348433,N,Y,48.1825106,-110.1188774
PAST SALE,July-30-2025,Single Family Residential,1700 Saint Charles St,Fort Benton,MT,59442,305000,4,2.0,Deletraz Add,2688,15246,1960,,113,,Sold,,,https://www.redfin.com/MT/Fort-Benton/1700-Saint-Charles-St-59442/home/104898727,BMTMLS,353773,N,Y,47.8223493,-110.6713559
PAST SALE,October-1-2025,Single Family Residential,1107 17th St,Fort Benton,MT,59442,365000,5,2.0,Fort Benton,3045,11979,1900,,120,,Sold,,,https://www.redfin.com/MT/Fort-Benton/1107-17th-St-59442/home/104898771,MRMLS,30055661,N,Y,47.8213756,-110.6694579
PAST SALE,September-19-2025,Vacant Land,92 Prospect Ave E,Geraldine,MT,59446,38000,,,Geraldine,,176854,,,,,Sold,,,https://www.redfin.com/MT/Geraldine/92-Prospect-Ave-59446/home/104898202,MRMLS,30054220,N,Y,47.5973931,-110.2608386
PAST SALE,December-29-2023,Mobile/Manufactured Home,483 Broadway Ave E,Highwood,MT,59450,175900,3,2.0,Highwood,1416,68550,1994,,124,,Sold,,,https://www.redfin.com/MT/Highwood/483-Broadway-Ave-E-59450/home/104898634,MRMLS,30016677,N,Y,47.5866673,-110.7857341
PAST SALE,March-14-2025,Single Family Residential,2319/2317 Main St,Fort Benton,MT,59442,225000,3,1.5,,1256,16814,1917,,179,,Sold,,,https://www.redfin.com/MT/Fort-Benton/2319-2317-Main-ST-59442/home/194344864,BMTMLS,350528,N,Y,47.826069,-110.659402
PAST SALE,March-14-2025,Single Family Residential,2319 Main St,Fort Benton,MT,59442,225000,3,1.5,Fort Benton,1256,16814,1917,,179,,Sold,,,https://www.redfin.com/MT/Fort-Benton/2319-Main-St-59442/home/104898705,MRMLS,30039152,N,Y,47.8260982,-110.6594484
PAST SALE,May-30-2025,Single Family Residential,2003 Franklin St,Fort Benton,MT,59442,230000,3,1.0,Military Add,1468,8276,1920,,157,,Sold,,,https://www.redfin.com/MT/Fort-Benton/2003-Franklin-St-59442/home/104898977,BMTMLS,351663,N,Y,47.8233113,-110.6641308
PAST SALE,May-20-2024,Single Family Residential,802 Main St,Fort Benton,MT,59442,380000,4,3.0,Fort Benton,2703,16800,1947,,141,,Sold,,,https://www.redfin.com/MT/Fort-Benton/802-Main-St-59442/home/104899088,MRMLS,30021587,N,Y,47.8124123,-110.6751156
PAST SALE,April-17-2023,Single Family Residential,1008 16th St,Fort Benton,MT,59442,240000,3,3.0,,1612,9583,1900,,149,,Sold,,,https://www.redfin.com/MT/Fort-Benton/1008-16th-St-59442/home/104898263,BMTMLS,338388,N,Y,47.8196486,-110.6696576
PAST SALE,October-25-2024,Single Family Residential,609 Franklin St,Fort Benton,MT,59442,300000,2,1.5,Fort Benton,1104,16814,1920,,272,,Sold,,,https://www.redfin.com/MT/Fort-Benton/609-Franklin-St-59442/home/104899021,MRMLS,30031801,N,Y,47.8106847,-110.6775612
PAST SALE,July-22-2025,Single Family Residential,156 Clary Ave W,Geraldine,MT,59446,269000,4,2.5,Geraldine,2206,7013,1918,,122,,Sold,,,https://www.redfin.com/MT/Geraldine/156-Clary-Ave-59446/home/104899532,MRMLS,30049793,N,Y,47.5998288,-110.2671905
PAST SALE,March-28-2025,Vacant Land,16 Vernon Rd,,MT,59450,198850,,,Highwood,,453024,,,,,Sold,,,https://www.redfin.com/MT/Unknown/16-Vernon-Rd-59450/home/194628834,BSCMLS,399364,N,Y,47.75977861,-110.83717432
